Student,SAT,GPA,Interest,High School Quality,Semester 1,Semester 2,Semester 3,Semester 4,Donor
Astrid Bloom,1360,3.86,8,3,96,82,97,79,FALSE
Astrid Mordo,1080,3.13,10,5,85,86,96,90,FALSE
Augusta Seger,1370,3.37,5,4,88,87,83,87,FALSE
Aunt Serr,1170,3.27,4,10,89,92,97,87,FALSE
Axis Annie,1260,3.34,4,0,98,85,89,82,TRUE
Ayla Ranefer,1370,4,3,7,86,85,97,81,TRUE
Baba Yaga,1250,3.19,0,10,91,84,92,93,TRUE
Barbara Gruber,1090,2.94,5,5,97,83,87,82,TRUE
Baylee Ann,1380,3.65,5,3,93,82,93,61,TRUE
Beatrix Keener,1150,2.82,6,0,97,85,84,92,TRUE
Belinda Mathius,1210,3.18,9,1,86,91,90,80,FALSE
Belle Raven,1100,3.32,8,6,94,89,98,85,FALSE
Benazir Kaur,950,4.1,0,2,85,86,97,81,FALSE
Betty Sumitro,1560,3.85,10,8,94,86,87,89,FALSE
Betty Swanson,1430,4,1,2,94,85,98,92,FALSE
Beverly Cross,1420,3.59,5,1,85,92,81,94,FALSE
Bianca LaNeige,1330,3.62,3,9,97,86,93,90,FALSE
Big Mother,1170,3.3,6,2,97,86,82,56,FALSE
Black Knight,1460,3.69,9,10,92,83,88,92,FALSE
Black Lotus,1310,3.73,3,5,86,86,94,77,FALSE
Black Mariah,1320,4,7,6,94,92,89,75,FALSE
Blackwing Smith,1130,2.92,3,1,97,86,95,91,FALSE
Blanche Sitznski,1180,3.39,8,0,95,84,91,88,FALSE
Bloody Bess,1490,4,10,6,97,90,89,85,FALSE
Bloody Mary,1290,3.45,8,9,98,83,86,80,FALSE
Blow Dryer,1340,4,10,4,98,88,88,85,FALSE
Bombardier,1290,3.36,9,8,87,84,97,81,FALSE
Boudica Gorman,1350,4,3,8,93,83,85,96,FALSE
Bouncing Betty,1100,3.12,9,10,93,82,95,86,FALSE
Bridget Malone,1410,4,7,10,85,90,91,79,FALSE
Brigitte Lahti,1140,2.9,5,7,93,83,86,92,FALSE
Bronwen Gryffn,1160,3.07,4,6,87,82,92,75,FALSE
Bubbles O'Day,1080,2.71,3,1,96,82,96,50,FALSE
Cal'syee Neramani,1090,2.91,3,4,92,88,84,78,FALSE
Calypso Ezili,1150,4.7,2,3,91,85,94,93,FALSE
Carmella Unuscione,1090,2.98,6,10,96,84,90,81,FALSE
Carol Hines,1370,4.1,6,8,87,91,94,77,FALSE
Carolina Washington,1330,3.48,1,2,87,87,88,96,FALSE
Caroline le Fay,1370,3.28,0,7,95,91,90,80,FALSE
Carolyn Trainer,1520,4,0,10,86,87,86,88,FALSE
Cassandra Nova Xavier,1520,3.83,10,0,91,83,90,75,FALSE
Cassandra Pike,1220,3.64,7,6,92,83,81,98,FALSE
Cassandra Romulus,1550,3.9,6,3,98,81,82,97,FALSE
Cat Woman,1170,2.93,8,0,86,86,88,79,FALSE
Cat's Paw,1280,3.44,5,3,94,90,85,84,FALSE
Catastrophe Jen,1110,3.33,2,6,90,86,93,98,FALSE
Catherine D'Antan,1180,3.52,5,9,91,92,96,95,FALSE
Catherine Saint,1240,3.57,6,9,89,92,82,81,FALSE
Catherine Wilder,1120,2.88,0,5,96,82,84,58,FALSE
Cathode,1140,3.31,4,0,91,87,82,90,FALSE
Celestia Denton,1310,3.15,10,10,97,86,97,77,FALSE
Chancellor Cassandra,1400,3.57,7,2,95,81,95,95,FALSE
Charlotte Witter,1290,3.33,0,4,98,84,94,84,FALSE
Cheer Chadwick,1150,4.7,6,4,96,90,82,87,FALSE
Chiquita Tarantula,1450,3.95,6,7,95,81,94,86,FALSE
Christina Carr,1000,2.97,8,10,86,88,90,86,FALSE
Cinder Fontatine,1310,3.56,4,0,90,87,98,90,FALSE
Claudine Renko,1170,3.13,7,4,92,89,94,77,FALSE
Clemence Duval,1180,2.93,5,9,85,92,93,83,FALSE
Coral Ravens,1370,3.45,10,8,94,83,91,84,FALSE
Countess Kyra,1160,3.08,0,6,91,86,82,93,FALSE
Countess Mara,1140,3.41,3,10,86,87,98,90,FALSE
Crimson Commando,1190,3,6,3,93,86,88,98,FALSE
Cristal Lemieux,1310,3.22,0,5,85,81,89,90,FALSE
Criti Noll,1300,3.84,3,4,87,89,92,78,FALSE
Cylla Markham,1490,3.99,1,5,94,84,84,90,FALSE
Cyndi Legion,1250,3.45,3,10,93,81,88,90,FALSE
Dagny Forrester,1460,3.72,8,6,87,83,94,96,FALSE
Daisy Villain,1510,3.7,3,0,88,86,82,84,FALSE
Dame Kackle,1060,2.92,0,9,91,89,87,96,FALSE
Dancing Water,1410,3.74,8,6,98,92,84,86,FALSE
Danielle Belmonde,1160,2.67,2,5,91,89,82,81,FALSE
Danielle Blunt,1050,2.85,6,4,87,91,90,85,FALSE
Danielle Forte,1010,4.25,6,4,93,86,93,65,FALSE
Danielle Nicolle,1470,3.88,9,4,88,84,89,96,FALSE
Elena King,1380,3.38,10,4,93,88,83,84,FALSE
Elena von Lundt,1190,3.54,8,1,95,85,81,88,FALSE
Eleven Rupinski,1410,3.74,7,0,87,86,95,75,FALSE
Elianne Turac,1310,3.19,1,9,88,91,93,98,FALSE
Elinor von Drei,1080,3.15,7,4,91,86,83,82,FALSE
Elisbeth von Strucker,1270,3.17,0,1,92,83,86,91,FALSE
Elise Winters,1190,2.79,5,7,94,82,88,82,FALSE
Elizabeth Bliss,1140,3.4,8,7,90,90,87,76,FALSE
Elizabeth Braddock,1230,3.08,10,0,86,92,87,82,FALSE
Elizabeth Lockhart,1090,2.95,7,3,87,86,93,75,FALSE
Elizabeth Rawson,1400,3.57,6,4,97,92,85,94,FALSE
Elsie Carson,1260,3.33,5,2,87,90,96,75,FALSE
Elspeth Cromwell,1590,4,3,2,97,91,88,78,FALSE
Elyse Nelson,1190,3.4,1,9,96,86,92,88,FALSE
Elysia Smith,1220,3.58,5,9,85,92,94,94,FALSE
Emma Frost,1470,3.93,7,8,97,88,86,83,FALSE
Emma Steed,1420,3.52,7,1,88,82,98,75,FALSE
Empress Brood,1380,3.94,10,0,98,91,94,90,FALSE
Eradica Smith,1260,3.4,10,2,94,81,94,97,FALSE
Ereshkigal Goddess,1380,3.4,5,3,96,82,81,89,FALSE
Erica Fortune,1410,3.43,1,10,92,82,93,87,FALSE
Erica von Kampf,1300,3.4,10,5,86,86,91,92,FALSE
Erica Wolfmann,940,2.71,9,9,97,83,97,98,FALSE
Erika Benson,1150,2.91,0,5,92,86,92,83,FALSE
Erin Cicero,1290,3.31,1,8,89,84,86,86,FALSE
Lilith Moll,1330,3.74,5,10,90,91,86,78,FALSE
Lillian von Loont,1280,3.38,0,4,98,81,89,76,FALSE
Lily Cromwell,1510,3.94,5,1,88,84,97,82,FALSE
Lily Hollister,1140,3.46,10,0,96,83,93,86,FALSE
Linda Lewis,1440,3.69,2,5,90,91,85,78,FALSE
Linda Wei,980,2.86,0,3,97,92,96,85,FALSE
Linette Martinez,930,2.52,7,0,88,82,81,75,FALSE
Lisabeth Borden,1260,3.58,6,4,92,83,93,89,FALSE
Livilla Smith,1280,3.49,10,2,96,81,84,84,FALSE
Liza Pyne,1470,3.82,8,5,86,82,89,90,FALSE
Llyra Morris,1200,3.13,4,8,98,82,89,91,FALSE
Loca Inferno,1370,3.5,2,2,88,88,87,76,FALSE
Lois Smith,1220,3.56,3,10,92,91,83,89,FALSE
Lois London,1060,2.73,4,4,91,85,88,79,FALSE
Lola Smith,1200,4.9,10,1,86,92,89,79,FALSE
Lorelei Asgardian,1440,4,3,10,91,91,81,83,FALSE
Lorelei Riciardi,1210,3.24,9,5,94,82,83,94,FALSE
Lorena Haam,1480,3.77,0,10,98,91,85,86,FALSE
Lorina Dodson,1420,4,10,8,98,91,98,76,FALSE
Lottie Eikenski,1390,3.62,9,5,90,92,89,94,FALSE
Lotus Newmark,1200,3.51,2,9,85,86,90,89,TRUE
Lou Dade,1160,2.81,0,1,97,86,94,96,TRUE
Lucia von Bardas,1380,3.48,9,10,90,83,81,84,TRUE
Luciane d'Hiver,1320,3.43,0,6,95,86,83,88,TRUE
Lucrezia Borgia,1220,3.53,5,8,88,84,96,95,TRUE
Lupa Lupoff,1310,3.37,4,5,92,85,83,80,TRUE
Lupe Werewolf,1000,2.62,1,0,90,89,89,97,TRUE
Lydia Kenny,1240,3.23,5,2,96,87,90,84,TRUE
Lynn Church,1380,3.33,10,10,93,91,89,81,TRUE
Lyudmila Antonovna Kudrin,1070,3.01,1,10,92,81,94,87,TRUE
Ma Mayhem,1380,4.3,8,1,98,85,96,79,TRUE
Madam Qwa,1560,3.88,10,3,98,89,84,90,TRUE
Madam Rapier,1400,4,9,5,86,92,97,75,TRUE
Madam Satan,1320,3.84,4,5,97,88,85,91,TRUE
Madam Slay,950,2.79,1,4,87,87,91,93,TRUE
Madam Swabada,1380,3.6,0,10,93,90,93,91,TRUE
Madam Web,1220,3.61,6,10,96,82,89,95,TRUE
Madam Worm,1100,2.88,3,2,91,81,97,89,TRUE
Madame Death,1190,3.07,2,1,93,83,84,79,TRUE
Madame Hydra,1140,3.35,7,3,90,90,91,81,TRUE
Madame Joy,1260,2.94,7,5,95,89,84,90,TRUE
Madame la Morte,1400,3.54,6,10,94,85,97,75,TRUE
Madame Macabre,1410,3.76,4,7,87,87,83,93,TRUE
Madame Mauser,1300,3.59,5,3,85,91,94,86,TRUE
Madame Reneau,1260,3.47,6,9,88,89,97,76,TRUE
Madelyne Pryor,1340,3.59,10,9,92,92,84,92,TRUE
Maggie Langella,1250,3.07,9,7,91,83,87,87,TRUE
Maguire Beck,1100,3.23,0,3,93,91,94,95,TRUE
Majeston Zelia,1370,3.63,9,4,92,86,89,87,TRUE
Maki Matsumoto,1320,3.77,5,7,91,88,94,89,TRUE
Malice Marauders,1160,3.31,1,1,93,82,90,85,TRUE
Malon Estella Reeves,1140,3.2,2,10,94,88,87,66,TRUE
Mamalu Buffalo,1460,4,1,0,86,82,83,81,TRUE
Manchuria Mary,1500,3.92,9,1,87,89,86,80,TRUE
Mantis Reborn,1560,3.89,9,0,86,88,84,88,TRUE
Marabeth Buffalo,1490,3.8,7,7,98,85,82,91,FALSE
Maraud Buffalo,1320,3.54,10,4,86,83,96,93,FALSE
Marci Camp,1250,3.63,0,6,89,92,87,98,FALSE
Marge Smith,1190,3.16,3,0,97,85,97,94,FALSE
Marguerita Buffalo,1200,3.5,1,3,87,81,86,96,FALSE
Maria Callasantos,1380,3.34,1,10,98,87,97,80,FALSE
Mariah Ellenthorpe,1260,3.02,5,0,89,86,87,89,FALSE
Marian Pouncy,1200,2.87,1,3,85,84,98,61,FALSE
Marie Batroc,1180,3.38,0,6,91,85,97,88,FALSE
